#Z   Sym    Mass           Scatt_xs  Inc_xs     Coh_b
1     H     1.00794        82.02     80.26      -3.7390
1     D     2.0141         7.64      2.05        6.671
1     H:D   2.0141         7.64      2.05        6.671
2     He    4.002602       1.34      0.0         3.26
3     Li    6.941          1.37      0.92       -1.9
4     Be    9.012182       7.63      0.0018      7.79
5     B     10.811         5.24      1.7         5.30
6     C     12.0107        5.551     0.001       6.646
7     N     14.0067        11.51     0.5         9.36
8     O     15.9994        4.232     0.0008      5.803
9     F     18.9984032     4.018     0.0008      5.654
10    Ne    20.1797        2.628     0.008       4.566
11    Na    22.98976928    3.28      1.62        3.63
12    Mg    24.3050        3.71      0.08        5.375
13    Al    26.9815386     1.503     0.0082      3.449
14    Si    28.0855        2.167     0.004       4.1491
15    P     30.973762      3.312     0.005       5.13
16    S     32.065         1.026     0.007       2.847
17    Cl    35.453         16.8      5.3         9.577
18    Ar    39.948         0.683     0.225       1.909
19    K     39.0983        1.96      0.27        3.67
20    Ca    40.078         2.83      0.05        4.70
21    Sc    44.955912      23.5      4.5         12.29
22    Ti    47.867         4.35      2.87        -3.438
23    V     50.9415        5.1       5.08        -0.3824
24    Cr    51.9961        3.49      1.83        3.635
25    Mn    54.938045      2.15      0.4         -3.73
26    Fe    55.845         11.62     0.4         9.45
27    Co    58.933195      5.6       4.8         2.49
28    Ni    58.6934        18.5      5.2         10.3
29    Cu    63.546         8.03      0.55        7.718
30    Zn    65.38          4.131     0.077       5.680
31    Ga    69.723         6.83      0.16        7.288
32    Ge    72.64          8.6       0.18        8.185
33    As    74.92160       5.5       0.06        6.58
34    Se    78.96          8.3       0.32        7.97
35    Br    79.904         5.9       0.1         6.795
36    Kr    83.798         7.68      0.01        7.81
37    Rb    85.4678        6.8       0.5         7.09
38    Sr    87.62          6.25      0.06        7.02
39    Y     88.90585       7.7       0.15        7.75
40    Zr    91.224         6.46      0.02        7.16
41    Nb    92.90638       6.255     0.0024      7.054
42    Mo    95.96          5.71      0.04        6.715
43    Tc    98.0           6.3       0.5         6.8
44    Ru    101.07         6.6       0.4         7.03
45    Rh    102.90550      4.6       0.3         5.88
46    Pd    106.42         4.48      0.093       5.91
47    Ag    107.8682       4.99      0.58        5.922
48    Cd    112.411        6.5       3.46        4.87
49    In    114.818        2.62      0.54        4.065
50    Sn    118.710        4.892     0.022       6.225
51    Sb    121.760        3.9       0.007       5.57
52    Te    127.60         4.32      0.09        5.80
53    I     126.90447      3.81      0.31        5.28
54    Xe    131.29         2.96      0.0         4.92
55    Cs    132.9          3.9       0.21        5.42
56    Ba    137.33         3.38      0.15        5.07
57    La    138.91         9.66      1.13        8.24
58    Ce    140.12         2.94      0.001       4.84
59    Pr    140.91         2.66      0.015       4.58
60    Nd    144.24         16.6      9.2         7.69
61    Pm    144.91         21.3      1.3         12.6
62    Sm    150.36         39.0      39.0        1.83
63    Eu    151.96         9.2       2.5         7.33
64    Gd    157.25         180.0     151.0       15.27
65    Tb    158.93         6.84      0.004       7.38
66    Dy    162.50         90.3      54.4        16.9
67    Ho    164.93         8.42      0.36        8.01
68    Er    167.26         8.7       1.1         7.79
69    Tm    168.93         6.38      0.1         7.07
70    Yb    173.05         23.4      4.0         12.43
71    Lu    174.97         7.2       0.7         7.21
72    Hf    178.49         10.2      2.6         7.7
73    Ta    180.95         6.01      0.01        6.91
74    W     183.84         4.6       1.63        4.86
75    Re    186.21         11.5      0.9         9.2
76    Os    190.23         14.7      0.3         10.7
77    Ir    192.22         14.3      0.3         10.6
78    Pt    195.084        11.71     0.13        9.6
79    Au    196.97         7.75      0.43        7.63
80    Hg    200.59         26.8      6.6         12.692
81    Tl    204.38         9.89      0.21        8.776
82    Pb    207.2          11.118    0.003       9.405
83    Bi    208.98         9.156     0.0084      8.532
88    Ra    226.03         13.3      0.0         10.0
90    Th    232.04         13.36     0.0         10.31
91    Pa    231.04         10.5      0.1         9.1
92    U     238.03         8.908     0.005       8.417
93    Np    237.05         14.5      0.5         10.55
95    Am    243.06         9.0       0.3         8.3
